case:concept:name,case:OrganizationalEntity,type_a,type_b,compliant
travel permit 21114,organizational unit 65456,False,True,False
travel permit 21236,organizational unit 65460,False,True,False
travel permit 21399,organizational unit 65456,False,True,False
travel permit 21452,organizational unit 65459,False,True,False
travel permit 21488,organizational unit 65458,False,True,False
travel permit 21567,organizational unit 65456,False,True,False
travel permit 21792,organizational unit 65457,False,True,False
travel permit 22126,organizational unit 65458,False,True,False
travel permit 22493,organizational unit 65460,False,True,False
travel permit 22944,organizational unit 65459,False,True,False
travel permit 22999,organizational unit 65459,False,True,False
travel permit 23179,organizational unit 65456,False,True,False
travel permit 23342,organizational unit 65459,False,True,False
travel permit 23492,organizational unit 65459,False,True,False
travel permit 23566,organizational unit 65458,False,True,False
travel permit 23726,organizational unit 65456,False,True,False
travel permit 23805,organizational unit 65456,False,True,False
travel permit 23912,organizational unit 65458,False,True,False
travel permit 23931,organizational unit 65455,False,True,False
travel permit 23943,organizational unit 65459,False,True,False
travel permit 24264,organizational unit 65482,False,True,False
travel permit 24304,organizational unit 65454,False,True,False
travel permit 24353,organizational unit 65454,False,True,False
travel permit 24609,organizational unit 65459,False,True,False
travel permit 2462,organizational unit 65459,False,True,False
travel permit 24701,organizational unit 65458,False,True,False
travel permit 24795,organizational unit 65464,False,True,False
travel permit 24856,organizational unit 65459,False,True,False
travel permit 24909,organizational unit 65456,False,True,False
travel permit 25013,organizational unit 65466,False,True,False
travel permit 25202,organizational unit 65456,False,True,False
travel permit 25240,organizational unit 65456,False,True,False
travel permit 25245,organizational unit 65458,False,True,False
travel permit 25257,organizational unit 65457,False,True,False
travel permit 25625,organizational unit 65456,False,True,False
travel permit 25843,organizational unit 65459,False,True,False
travel permit 26038,organizational unit 65458,False,True,False
travel permit 2605,organizational unit 65455,False,True,False
travel permit 26065,organizational unit 65466,False,True,False
travel permit 26115,organizational unit 65459,False,True,False
travel permit 26217,organizational unit 65464,False,True,False
travel permit 26323,organizational unit 65456,False,True,False
travel permit 26619,organizational unit 65454,False,True,False
travel permit 26696,organizational unit 65459,False,True,False
travel permit 26816,organizational unit 65456,False,True,False
travel permit 26885,organizational unit 65458,False,True,False
travel permit 27210,organizational unit 65457,False,True,False
travel permit 27283,organizational unit 65458,False,True,False
travel permit 27299,organizational unit 65456,False,True,False
travel permit 27325,organizational unit 65455,False,True,False
travel permit 27548,organizational unit 65456,False,True,False
travel permit 27565,organizational unit 65454,False,True,False
travel permit 27699,organizational unit 65458,False,True,False
travel permit 27783,organizational unit 65456,False,True,False
travel permit 27919,organizational unit 65456,False,True,False
travel permit 2797,organizational unit 65456,False,True,False
travel permit 28028,organizational unit 65458,False,True,False
travel permit 28131,organizational unit 65460,False,True,False
travel permit 28462,organizational unit 65459,False,True,False
travel permit 28479,organizational unit 65455,False,True,False
travel permit 28520,organizational unit 65458,False,True,False
travel permit 28751,organizational unit 65456,False,True,False
travel permit 2881,organizational unit 65460,False,True,False
travel permit 28884,organizational unit 65456,False,True,False
travel permit 29001,organizational unit 65460,False,True,False
travel permit 29007,organizational unit 65460,False,True,False
travel permit 29048,organizational unit 65461,False,True,False
travel permit 29066,organizational unit 65456,False,True,False
travel permit 29105,organizational unit 65454,False,True,False
travel permit 29224,organizational unit 65455,False,True,False
travel permit 29309,organizational unit 65464,False,True,False
travel permit 29453,organizational unit 65458,False,True,False
travel permit 2950,organizational unit 65457,False,True,False
travel permit 29607,organizational unit 65461,False,True,False
travel permit 29757,organizational unit 65457,False,True,False
travel permit 29794,organizational unit 65484,False,True,False
travel permit 30017,organizational unit 65459,False,True,False
travel permit 30171,organizational unit 65459,False,True,False
travel permit 3028,organizational unit 65464,False,True,False
travel permit 30538,organizational unit 65454,False,True,False
travel permit 3060,organizational unit 65460,False,True,False
travel permit 30621,organizational unit 65454,False,True,False
travel permit 30700,organizational unit 65467,False,True,False
travel permit 30771,organizational unit 65454,False,True,False
travel permit 3091,organizational unit 65460,False,True,False
travel permit 31334,organizational unit 65456,False,True,False
travel permit 31467,organizational unit 65459,False,True,False
travel permit 3152,organizational unit 65466,False,True,False
travel permit 31729,organizational unit 65460,False,True,False
travel permit 31773,organizational unit 65459,False,True,False
travel permit 3211,organizational unit 65459,False,True,False
travel permit 3218,organizational unit 65459,False,True,False
travel permit 32638,organizational unit 65458,False,True,False
travel permit 32749,organizational unit 65459,False,True,False
travel permit 32776,organizational unit 65459,False,True,False
travel permit 3281,organizational unit 65456,False,True,False
travel permit 33046,organizational unit 65456,False,True,False
travel permit 33119,organizational unit 65466,False,True,False
travel permit 33307,organizational unit 65460,False,True,False
travel permit 33712,organizational unit 65458,False,True,False
travel permit 33793,organizational unit 65455,False,True,False
travel permit 33875,organizational unit 65457,False,True,False
travel permit 34005,organizational unit 65459,False,True,False
travel permit 34252,organizational unit 65466,False,True,False
travel permit 34448,organizational unit 65457,False,True,False
travel permit 34504,organizational unit 65456,False,True,False
travel permit 34571,organizational unit 65455,False,True,False
travel permit 34641,organizational unit 65459,False,True,False
travel permit 34706,organizational unit 65457,False,True,False
travel permit 35068,organizational unit 65459,False,True,False
travel permit 35186,organizational unit 65459,False,True,False
travel permit 35196,organizational unit 65454,False,True,False
travel permit 35216,organizational unit 65454,False,True,False
travel permit 35250,organizational unit 65464,False,True,False
travel permit 35291,organizational unit 65454,False,True,False
travel permit 35365,organizational unit 65456,False,True,False
travel permit 35430,organizational unit 65459,False,True,False
travel permit 35537,organizational unit 65456,False,True,False
travel permit 35581,organizational unit 65456,False,True,False
travel permit 36093,organizational unit 65456,False,True,False
travel permit 36167,organizational unit 65456,False,True,False
travel permit 36381,organizational unit 65459,False,True,False
travel permit 36449,organizational unit 65456,False,True,False
travel permit 36502,organizational unit 65457,False,True,False
travel permit 36561,organizational unit 65460,False,True,False
travel permit 36566,organizational unit 65460,False,True,False
travel permit 36615,organizational unit 65460,False,True,False
travel permit 36687,organizational unit 65457,False,True,False
travel permit 36715,organizational unit 65464,False,True,False
travel permit 36949,organizational unit 65458,False,True,False
travel permit 37097,organizational unit 65459,False,True,False
travel permit 37210,organizational unit 65458,False,True,False
travel permit 37829,organizational unit 65458,False,True,False
travel permit 38016,organizational unit 65454,False,True,False
travel permit 38128,organizational unit 65456,False,True,False
travel permit 38284,organizational unit 65460,False,True,False
travel permit 38294,organizational unit 65459,False,True,False
travel permit 3830,organizational unit 65456,False,True,False
travel permit 38312,organizational unit 65454,False,True,False
travel permit 38413,organizational unit 65456,False,True,False
travel permit 38755,organizational unit 65454,False,True,False
travel permit 38934,organizational unit 65464,False,True,False
travel permit 39021,organizational unit 65456,False,True,False
travel permit 39118,organizational unit 65455,False,True,False
travel permit 39341,organizational unit 65454,False,True,False
travel permit 39539,organizational unit 65455,False,True,False
travel permit 39551,organizational unit 65466,False,True,False
travel permit 39734,organizational unit 65456,False,True,False
travel permit 3994,organizational unit 65459,False,True,False
travel permit 39992,organizational unit 65456,False,True,False
travel permit 40269,organizational unit 65458,False,True,False
travel permit 40285,organizational unit 65460,False,True,False
travel permit 40362,organizational unit 65458,False,True,False
travel permit 40778,organizational unit 65459,False,True,False
travel permit 41410,organizational unit 65458,False,True,False
travel permit 41436,organizational unit 65455,False,True,False
travel permit 41454,organizational unit 65456,False,True,False
travel permit 41598,organizational unit 65459,False,True,False
travel permit 42137,organizational unit 65460,False,True,False
travel permit 42245,organizational unit 65459,False,True,False
travel permit 42251,organizational unit 65459,False,True,False
travel permit 42735,organizational unit 65454,False,True,False
travel permit 42862,organizational unit 65457,False,True,False
travel permit 43089,organizational unit 65458,False,True,False
travel permit 43134,organizational unit 65458,False,True,False
travel permit 43176,organizational unit 65460,False,True,False
travel permit 43528,organizational unit 65455,False,True,False
travel permit 43738,organizational unit 65458,False,True,False
travel permit 43924,organizational unit 65461,False,True,False
travel permit 43930,organizational unit 65459,False,True,False
travel permit 44190,organizational unit 65458,False,True,False
travel permit 44322,organizational unit 65456,False,True,False
travel permit 44328,organizational unit 65456,False,True,False
travel permit 44338,organizational unit 65459,False,True,False
travel permit 44356,organizational unit 65454,False,True,False
travel permit 44565,organizational unit 65458,False,True,False
travel permit 44748,organizational unit 65460,False,True,False
travel permit 44788,organizational unit 65464,False,True,False
travel permit 44800,organizational unit 65464,False,True,False
travel permit 45111,organizational unit 65460,False,True,False
travel permit 45176,organizational unit 65454,False,True,False
travel permit 45381,organizational unit 65455,False,True,False
travel permit 45395,organizational unit 65454,False,True,False
travel permit 45419,organizational unit 65460,False,True,False
travel permit 455,organizational unit 65456,False,True,False
travel permit 45618,organizational unit 65458,False,True,False
travel permit 46105,organizational unit 65454,False,True,False
travel permit 46125,organizational unit 65456,False,True,False
travel permit 46332,organizational unit 65455,False,True,False
travel permit 46450,organizational unit 65461,False,True,False
travel permit 46550,organizational unit 65460,False,True,False
travel permit 46563,organizational unit 65480,False,True,False
travel permit 46587,organizational unit 65458,False,True,False
travel permit 46829,organizational unit 65459,False,True,False
travel permit 47061,organizational unit 65459,False,True,False
travel permit 47159,organizational unit 65455,False,True,False
travel permit 47368,organizational unit 65459,False,True,False
travel permit 47593,organizational unit 65458,False,True,False
travel permit 47620,organizational unit 65458,False,True,False
travel permit 47865,organizational unit 65457,False,True,False
travel permit 48137,organizational unit 65454,False,True,False
travel permit 48225,organizational unit 65455,False,True,False
travel permit 48283,organizational unit 65460,False,True,False
travel permit 48294,organizational unit 65466,False,True,False
travel permit 48306,organizational unit 65464,False,True,False
travel permit 48323,organizational unit 65466,False,True,False
travel permit 48358,organizational unit 65459,False,True,False
travel permit 48482,organizational unit 65455,False,True,False
travel permit 48494,organizational unit 65461,False,True,False
travel permit 48523,organizational unit 65456,False,True,False
travel permit 48528,organizational unit 65456,False,True,False
travel permit 48654,organizational unit 65456,False,True,False
travel permit 48702,organizational unit 65455,False,True,False
travel permit 49009,organizational unit 65456,False,True,False
travel permit 49056,organizational unit 65455,False,True,False
travel permit 49066,organizational unit 65455,False,True,False
travel permit 49117,organizational unit 65455,False,True,False
travel permit 49188,organizational unit 65469,False,True,False
travel permit 49286,organizational unit 65454,False,True,False
travel permit 49344,organizational unit 65455,False,True,False
travel permit 49514,organizational unit 65464,False,True,False
travel permit 49579,organizational unit 65456,False,True,False
travel permit 49610,organizational unit 65464,False,True,False
travel permit 49615,organizational unit 65459,False,True,False
travel permit 50108,organizational unit 65456,False,True,False
travel permit 5022,organizational unit 65457,False,True,False
travel permit 50349,organizational unit 65456,False,True,False
travel permit 50361,organizational unit 65456,False,True,False
travel permit 50376,organizational unit 65456,False,True,False
travel permit 50540,organizational unit 65454,False,True,False
travel permit 50804,organizational unit 65459,False,True,False
travel permit 50896,organizational unit 65458,False,True,False
travel permit 50939,organizational unit 65454,False,True,False
travel permit 51029,organizational unit 65454,False,True,False
travel permit 51051,organizational unit 65467,False,True,False
travel permit 51318,organizational unit 65466,False,True,False
travel permit 51488,organizational unit 65460,False,True,False
travel permit 51646,organizational unit 65456,False,True,False
travel permit 5172,organizational unit 65459,False,True,False
travel permit 51763,organizational unit 65455,False,True,False
travel permit 51768,organizational unit 65457,False,True,False
travel permit 5182,organizational unit 65459,False,True,False
travel permit 51852,organizational unit 65459,False,True,False
travel permit 51969,organizational unit 65456,False,True,False
travel permit 52135,organizational unit 65456,False,True,False
travel permit 52150,organizational unit 65456,False,True,False
travel permit 52205,organizational unit 65459,False,True,False
travel permit 52260,organizational unit 65458,False,True,False
travel permit 52357,organizational unit 65458,False,True,False
travel permit 52367,organizational unit 65459,False,True,False
travel permit 5238,organizational unit 65464,False,True,False
travel permit 52480,organizational unit 65456,False,True,False
travel permit 52526,organizational unit 65456,False,True,False
travel permit 52627,organizational unit 65456,False,True,False
travel permit 5267,organizational unit 65460,False,True,False
travel permit 52684,organizational unit 65456,False,True,False
travel permit 52747,organizational unit 65458,False,True,False
travel permit 5278,organizational unit 65460,False,True,False
travel permit 52819,organizational unit 65455,False,True,False
travel permit 52839,organizational unit 65460,False,True,False
travel permit 52907,organizational unit 65456,False,True,False
travel permit 52913,organizational unit 65456,False,True,False
travel permit 52924,organizational unit 65459,False,True,False
travel permit 52952,organizational unit 65460,False,True,False
travel permit 52957,organizational unit 65458,False,True,False
travel permit 52967,organizational unit 65457,False,True,False
travel permit 53182,organizational unit 65461,False,True,False
travel permit 53436,organizational unit 65459,False,True,False
travel permit 53463,organizational unit 65458,False,True,False
travel permit 53889,organizational unit 65456,False,True,False
travel permit 54072,organizational unit 65457,False,True,False
travel permit 54087,organizational unit 65460,False,True,False
travel permit 54097,organizational unit 65459,False,True,False
travel permit 54225,organizational unit 65456,False,True,False
travel permit 54255,organizational unit 65456,False,True,False
travel permit 54513,organizational unit 65455,False,True,False
travel permit 54541,organizational unit 65459,False,True,False
travel permit 54615,organizational unit 65455,False,True,False
travel permit 54633,organizational unit 65456,False,True,False
travel permit 54765,organizational unit 65459,False,True,False
travel permit 55048,organizational unit 65455,False,True,False
travel permit 55370,organizational unit 65466,False,True,False
travel permit 55543,organizational unit 65460,False,True,False
travel permit 55567,organizational unit 65456,False,True,False
travel permit 55644,organizational unit 65461,False,True,False
travel permit 55697,organizational unit 65457,False,True,False
travel permit 55702,organizational unit 65455,False,True,False
travel permit 55722,organizational unit 65459,False,True,False
travel permit 56055,organizational unit 65458,False,True,False
travel permit 56070,organizational unit 65457,False,True,False
travel permit 56310,organizational unit 65459,False,True,False
travel permit 56762,organizational unit 65455,False,True,False
travel permit 56790,organizational unit 65457,False,True,False
travel permit 56829,organizational unit 65456,False,True,False
travel permit 56883,organizational unit 65458,False,True,False
travel permit 56893,organizational unit 65457,False,True,False
travel permit 56978,organizational unit 65459,False,True,False
travel permit 57397,organizational unit 65458,False,True,False
travel permit 57466,organizational unit 65456,False,True,False
travel permit 57707,organizational unit 65477,False,True,False
travel permit 57858,organizational unit 65472,False,True,False
travel permit 58359,organizational unit 65456,False,True,False
travel permit 58446,organizational unit 65458,False,True,False
travel permit 58715,organizational unit 65464,False,True,False
travel permit 58747,organizational unit 65454,False,True,False
travel permit 58785,organizational unit 65459,False,True,False
travel permit 58882,organizational unit 65461,False,True,False
travel permit 58934,organizational unit 65456,False,True,False
travel permit 59018,organizational unit 65458,False,True,False
travel permit 59337,organizational unit 65460,False,True,False
travel permit 59412,organizational unit 65456,False,True,False
travel permit 59443,organizational unit 65456,False,True,False
travel permit 59484,organizational unit 65464,False,True,False
travel permit 59594,organizational unit 65464,False,True,False
travel permit 59675,organizational unit 65460,False,True,False
travel permit 59936,organizational unit 65456,False,True,False
travel permit 60029,organizational unit 65458,False,True,False
travel permit 60160,organizational unit 65456,False,True,False
travel permit 60165,organizational unit 65458,False,True,False
travel permit 60325,organizational unit 65459,False,True,False
travel permit 60379,organizational unit 65464,False,True,False
travel permit 60481,organizational unit 65460,False,True,False
travel permit 60505,organizational unit 65458,False,True,False
travel permit 6054,organizational unit 65459,False,True,False
travel permit 60547,organizational unit 65457,False,True,False
travel permit 60627,organizational unit 65460,False,True,False
travel permit 60765,organizational unit 65459,False,True,False
travel permit 60785,organizational unit 65454,False,True,False
travel permit 60822,organizational unit 65454,False,True,False
travel permit 60834,organizational unit 65454,False,True,False
travel permit 6084,organizational unit 65460,False,True,False
travel permit 60911,organizational unit 65458,False,True,False
travel permit 6096,organizational unit 65458,False,True,False
travel permit 61170,organizational unit 65458,False,True,False
travel permit 61471,organizational unit 65456,False,True,False
travel permit 61481,organizational unit 65464,False,True,False
travel permit 61549,organizational unit 65458,False,True,False
travel permit 61577,organizational unit 65456,False,True,False
travel permit 61637,organizational unit 65457,False,True,False
travel permit 61679,organizational unit 65458,False,True,False
travel permit 61784,organizational unit 65455,False,True,False
travel permit 62497,organizational unit 65459,False,True,False
travel permit 62655,organizational unit 65460,False,True,False
travel permit 62799,organizational unit 65454,False,True,False
travel permit 62804,organizational unit 65454,False,True,False
travel permit 62912,organizational unit 65466,False,True,False
travel permit 62917,organizational unit 65458,False,True,False
travel permit 633,organizational unit 65458,False,True,False
travel permit 63605,organizational unit 65458,False,True,False
travel permit 63832,organizational unit 65460,False,True,False
travel permit 63844,organizational unit 65459,False,True,False
travel permit 63893,organizational unit 65454,False,True,False
travel permit 64024,organizational unit 65455,False,True,False
travel permit 64034,organizational unit 65456,False,True,False
travel permit 64422,organizational unit 65458,False,True,False
travel permit 64432,organizational unit 65456,False,True,False
travel permit 645,organizational unit 65458,False,True,False
travel permit 65333,organizational unit 65459,False,True,False
travel permit 65495,organizational unit 65456,False,True,False
travel permit 65767,organizational unit 65454,False,True,False
travel permit 65783,organizational unit 65457,False,True,False
travel permit 65829,organizational unit 65455,False,True,False
travel permit 65987,organizational unit 65459,False,True,False
travel permit 66153,organizational unit 65461,False,True,False
travel permit 66280,organizational unit 65458,False,True,False
travel permit 66573,organizational unit 65458,False,True,False
travel permit 6669,organizational unit 65458,False,True,False
travel permit 67407,organizational unit 65457,False,True,False
travel permit 67411,organizational unit 65456,False,True,False
travel permit 67529,organizational unit 65459,False,True,False
travel permit 67644,organizational unit 65459,False,True,False
travel permit 67775,organizational unit 65459,False,True,False
travel permit 682,organizational unit 65460,False,True,False
travel permit 68249,organizational unit 65454,False,True,False
travel permit 68687,organizational unit 65456,False,True,False
travel permit 68828,organizational unit 65456,False,True,False
travel permit 68840,organizational unit 65456,False,True,False
travel permit 68912,organizational unit 65461,False,True,False
travel permit 68984,organizational unit 65464,False,True,False
travel permit 69399,organizational unit 65464,False,True,False
travel permit 69534,organizational unit 65459,False,True,False
travel permit 69539,organizational unit 65459,False,True,False
travel permit 70061,organizational unit 65459,False,True,False
travel permit 70163,organizational unit 65456,False,True,False
travel permit 70205,organizational unit 65459,False,True,False
travel permit 70313,organizational unit 65458,False,True,False
travel permit 70393,organizational unit 65460,False,True,False
travel permit 7045,organizational unit 65458,False,True,False
travel permit 70870,organizational unit 65454,False,True,False
travel permit 70948,organizational unit 65454,False,True,False
travel permit 71097,organizational unit 65466,False,True,False
travel permit 71336,organizational unit 65456,False,True,False
travel permit 71385,organizational unit 65466,False,True,False
travel permit 71410,organizational unit 65466,False,True,False
travel permit 71537,organizational unit 65456,False,True,False
travel permit 71547,organizational unit 65455,False,True,False
travel permit 7155,organizational unit 65456,False,True,False
travel permit 71676,organizational unit 65454,False,True,False
travel permit 71693,organizational unit 65458,False,True,False
travel permit 71868,organizational unit 65460,False,True,False
travel permit 71873,organizational unit 65458,False,True,False
travel permit 7210,organizational unit 65456,False,True,False
travel permit 7223,organizational unit 65456,False,True,False
travel permit 72370,organizational unit 65455,False,True,False
travel permit 73125,organizational unit 65455,False,True,False
travel permit 74251,organizational unit 65458,False,True,False
travel permit 74465,organizational unit 65458,False,True,False
travel permit 74613,organizational unit 65455,False,True,False
travel permit 74742,organizational unit 65458,False,True,False
travel permit 75095,organizational unit 65458,False,True,False
travel permit 7548,organizational unit 65454,False,True,False
travel permit 75611,organizational unit 65458,False,True,False
travel permit 75863,organizational unit 65458,False,True,False
travel permit 76045,organizational unit 65458,False,True,False
travel permit 76532,organizational unit 65458,False,True,False
travel permit 76594,organizational unit 65458,False,True,False
travel permit 76786,organizational unit 65458,False,True,False
travel permit 76816,organizational unit 65458,False,True,False
travel permit 77194,organizational unit 65458,False,True,False
travel permit 77270,organizational unit 65458,False,True,False
travel permit 7739,organizational unit 65458,False,True,False
travel permit 77473,organizational unit 65455,False,True,False
travel permit 77697,organizational unit 65458,False,True,False
travel permit 7784,organizational unit 65459,False,True,False
travel permit 78100,organizational unit 65455,False,True,False
travel permit 78205,organizational unit 65455,False,True,False
travel permit 78339,organizational unit 65455,False,True,False
travel permit 78365,organizational unit 65455,False,True,False
travel permit 78425,organizational unit 65455,False,True,False
travel permit 78452,organizational unit 65455,False,True,False
travel permit 78669,organizational unit 65455,False,True,False
travel permit 78705,organizational unit 65458,False,True,False
travel permit 78889,organizational unit 65458,False,True,False
travel permit 78915,organizational unit 65455,False,True,False
travel permit 79042,organizational unit 65458,False,True,False
travel permit 79400,organizational unit 65455,False,True,False
travel permit 79536,organizational unit 65455,False,True,False
travel permit 79842,organizational unit 65455,False,True,False
travel permit 79955,organizational unit 65455,False,True,False
travel permit 80755,organizational unit 65455,False,True,False
travel permit 80887,organizational unit 65455,False,True,False
travel permit 80896,organizational unit 65455,False,True,False
travel permit 81044,organizational unit 65455,False,True,False
travel permit 81294,organizational unit 65455,False,True,False
travel permit 81594,organizational unit 65458,False,True,False
travel permit 81602,organizational unit 65455,False,True,False
travel permit 81730,organizational unit 65455,False,True,False
travel permit 8178,organizational unit 65461,False,True,False
travel permit 81831,organizational unit 65455,False,True,False
travel permit 8194,organizational unit 65458,False,True,False
travel permit 81967,organizational unit 65455,False,True,False
travel permit 81972,organizational unit 65458,False,True,False
travel permit 82133,organizational unit 65458,False,True,False
travel permit 82147,organizational unit 65455,False,True,False
travel permit 82283,organizational unit 65458,False,True,False
travel permit 82693,organizational unit 65458,False,True,False
travel permit 82783,organizational unit 65458,False,True,False
travel permit 82812,organizational unit 65458,False,True,False
travel permit 82940,organizational unit 65455,False,True,False
travel permit 83021,organizational unit 65458,False,True,False
travel permit 83297,organizational unit 65458,False,True,False
travel permit 8337,organizational unit 65459,False,True,False
travel permit 83572,organizational unit 65458,False,True,False
travel permit 83745,organizational unit 65458,False,True,False
travel permit 83878,organizational unit 65458,False,True,False
travel permit 84412,organizational unit 65458,False,True,False
travel permit 84670,organizational unit 65458,False,True,False
travel permit 84830,organizational unit 65455,False,True,False
travel permit 85658,organizational unit 65455,False,True,False
travel permit 85726,organizational unit 65455,False,True,False
travel permit 85735,organizational unit 65458,False,True,False
travel permit 85932,organizational unit 65458,False,True,False
travel permit 86111,organizational unit 65458,False,True,False
travel permit 86255,organizational unit 65458,False,True,False
travel permit 863,organizational unit 65454,False,True,False
travel permit 8770,organizational unit 65458,False,True,False
travel permit 8954,organizational unit 65454,False,True,False
travel permit 9059,organizational unit 65456,False,True,False
travel permit 9088,organizational unit 65459,False,True,False
travel permit 9398,organizational unit 65454,False,True,False
travel permit 9408,organizational unit 65454,False,True,False
travel permit 9480,organizational unit 65454,False,True,False
travel permit 9643,organizational unit 65454,False,True,False
travel permit 9836,organizational unit 65466,False,True,False
