case:concept:name,concept:name,time:timestamp,case:OrganizationalEntity,case:TotalDeclared
travel permit 12055,Send Reminder,2019-01-01 06:00:41+00:00,organizational unit 65456,0.0
travel permit 12150,Send Reminder,2019-04-01 06:00:54+00:00,organizational unit 65458,0.0
travel permit 12234,Send Reminder,2019-02-01 06:00:30+00:00,organizational unit 65458,0.0
travel permit 12240,Send Reminder,2019-03-01 06:00:36+00:00,organizational unit 65460,0.0
travel permit 12251,Send Reminder,2019-08-01 06:00:48+00:00,organizational unit 65454,0.0
travel permit 12277,Send Reminder,2019-03-01 06:00:51+00:00,organizational unit 65477,0.0
travel permit 12387,Send Reminder,2018-12-01 06:00:52+00:00,organizational unit 65459,0.0
travel permit 12455,Send Reminder,2018-12-01 06:00:49+00:00,organizational unit 65458,0.0
travel permit 12548,Send Reminder,2019-04-01 06:00:54+00:00,organizational unit 65459,0.0
travel permit 12554,Send Reminder,2019-07-01 06:01:21+00:00,organizational unit 65466,0.0
travel permit 12560,Send Reminder,2019-07-01 06:00:57+00:00,organizational unit 65466,0.0
travel permit 12566,Send Reminder,2019-07-01 06:00:40+00:00,organizational unit 65466,0.0
travel permit 12584,Send Reminder,2019-07-01 06:00:28+00:00,organizational unit 65475,246.58144431971564
travel permit 12641,Send Reminder,2019-02-01 06:00:28+00:00,organizational unit 65456,0.0
travel permit 12661,Send Reminder,2019-05-01 06:00:58+00:00,organizational unit 65456,0.0
travel permit 12666,Send Reminder,2019-05-01 06:01:00+00:00,organizational unit 65456,0.0
travel permit 13077,Send Reminder,2019-05-01 06:00:54+00:00,organizational unit 65456,0.0
travel permit 13082,Send Reminder,2019-03-01 06:00:54+00:00,organizational unit 65457,0.0
travel permit 13189,Send Reminder,2019-04-01 06:00:46+00:00,organizational unit 65457,0.0
travel permit 13205,Send Reminder,2019-02-01 06:00:55+00:00,organizational unit 65464,0.0
travel permit 13242,Send Reminder,2019-07-01 06:01:13+00:00,organizational unit 65458,0.0
travel permit 13271,Send Reminder,2019-02-01 06:00:48+00:00,organizational unit 65458,0.0
travel permit 13318,Send Reminder,2019-04-01 06:00:51+00:00,organizational unit 65455,584.8983170695735
travel permit 13434,Send Reminder,2019-04-01 06:00:54+00:00,organizational unit 65456,0.0
travel permit 13449,Send Reminder,2019-03-01 06:00:30+00:00,organizational unit 65456,0.0
travel permit 13476,Send Reminder,2019-03-01 06:00:54+00:00,organizational unit 65464,0.0
travel permit 13629,Send Reminder,2019-03-01 06:00:49+00:00,organizational unit 65458,0.0
travel permit 1380,Send Reminder,2018-06-01 06:01:05+00:00,organizational unit 65456,0.0
travel permit 13862,Send Reminder,2018-09-01 06:00:43+00:00,organizational unit 65455,0.0
travel permit 13985,Send Reminder,2019-05-01 06:00:55+00:00,organizational unit 65456,0.0
travel permit 14003,Send Reminder,2019-07-01 06:00:51+00:00,organizational unit 65469,0.0
travel permit 14009,Send Reminder,2019-01-01 06:00:28+00:00,organizational unit 65464,0.0
travel permit 14015,Send Reminder,2019-07-01 06:00:33+00:00,organizational unit 65469,0.0
travel permit 14076,Send Reminder,2019-01-01 06:00:12+00:00,organizational unit 65456,0.0
travel permit 14093,Send Reminder,2019-05-01 06:01:00+00:00,organizational unit 65455,0.0
travel permit 14125,Send Reminder,2019-02-01 06:00:58+00:00,organizational unit 65466,48.43270642796747
travel permit 14146,Send Reminder,2019-03-01 06:00:47+00:00,organizational unit 65456,0.0
travel permit 14267,Send Reminder,2018-06-01 06:00:56+00:00,organizational unit 65458,0.0
travel permit 14441,Send Reminder,2018-05-01 06:00:28+00:00,organizational unit 65461,0.0
travel permit 14497,Send Reminder,2018-08-01 06:00:53+00:00,organizational unit 65464,1442.576161259834
travel permit 14513,Send Reminder,2018-06-01 06:01:03+00:00,organizational unit 65459,0.0
travel permit 14531,Send Reminder,2018-08-01 06:00:48+00:00,organizational unit 65457,0.0
travel permit 14754,Send Reminder,2018-09-01 06:00:48+00:00,organizational unit 65455,0.0
travel permit 14815,Send Reminder,2018-07-01 06:01:16+00:00,organizational unit 65457,0.0
travel permit 15142,Send Reminder,2018-07-01 06:01:16+00:00,organizational unit 65455,0.0
travel permit 15277,Send Reminder,2018-08-01 06:00:55+00:00,organizational unit 65454,0.0
travel permit 15371,Send Reminder,2019-04-01 06:00:50+00:00,organizational unit 65477,0.0
travel permit 15377,Send Reminder,2019-04-01 06:00:52+00:00,organizational unit 65477,0.0
travel permit 15383,Send Reminder,2019-04-01 06:00:54+00:00,organizational unit 65477,0.0
travel permit 15398,Send Reminder,2019-05-01 06:00:59+00:00,organizational unit 65464,0.0
travel permit 15419,Send Reminder,2019-04-01 06:00:45+00:00,organizational unit 65458,0.0
travel permit 15429,Send Reminder,2019-04-01 06:00:52+00:00,organizational unit 65457,0.0
travel permit 15449,Send Reminder,2019-05-01 06:00:52+00:00,organizational unit 65456,0.0
travel permit 15454,Send Reminder,2019-05-01 06:00:19+00:00,organizational unit 65460,0.0
travel permit 15670,Send Reminder,2018-10-01 06:00:33+00:00,organizational unit 65455,0.0
travel permit 15687,Send Reminder,2019-03-01 06:00:55+00:00,organizational unit 65461,0.0
travel permit 15692,Send Reminder,2019-02-01 06:00:56+00:00,organizational unit 65454,0.0
travel permit 15707,Send Reminder,2018-10-01 06:00:37+00:00,organizational unit 65466,0.0
travel permit 15713,Send Reminder,2018-08-01 06:00:45+00:00,organizational unit 65458,0.0
travel permit 15718,Send Reminder,2018-09-01 06:00:51+00:00,organizational unit 65454,0.0
travel permit 15804,Send Reminder,2018-12-01 06:00:53+00:00,organizational unit 65456,0.0
travel permit 15895,Send Reminder,2018-11-01 06:00:44+00:00,organizational unit 65459,0.0
travel permit 15993,Send Reminder,2019-04-01 06:00:50+00:00,organizational unit 65477,0.0
travel permit 15999,Send Reminder,2019-03-01 06:00:47+00:00,organizational unit 65477,0.0
travel permit 16005,Send Reminder,2019-03-01 06:00:57+00:00,organizational unit 65477,0.0
travel permit 16057,Send Reminder,2019-06-01 06:01:12+00:00,organizational unit 65458,0.0
travel permit 1614,Send Reminder,2018-07-01 06:01:11+00:00,organizational unit 65459,0.0
travel permit 16210,Send Reminder,2019-01-01 06:00:46+00:00,organizational unit 65456,0.0
travel permit 16359,Send Reminder,2019-06-01 06:01:19+00:00,organizational unit 65454,0.0
travel permit 16552,Send Reminder,2019-05-01 06:00:59+00:00,organizational unit 65456,0.0
travel permit 16631,Send Reminder,2019-01-01 06:00:48+00:00,organizational unit 65454,0.0
travel permit 16658,Send Reminder,2019-03-01 06:00:50+00:00,organizational unit 65466,307.79871740469787
travel permit 16670,Send Reminder,2018-11-01 06:00:46+00:00,organizational unit 65457,0.0
travel permit 16777,Send Reminder,2019-01-01 06:00:53+00:00,organizational unit 65466,0.0
travel permit 1679,Send Reminder,2018-07-01 06:01:14+00:00,organizational unit 65458,0.0
travel permit 16836,Send Reminder,2019-01-01 06:00:47+00:00,organizational unit 65459,0.0
travel permit 16875,Send Reminder,2019-01-01 06:00:53+00:00,organizational unit 65458,0.0
travel permit 16901,Send Reminder,2019-01-01 06:00:17+00:00,organizational unit 65457,1286.1881502288775
travel permit 17033,Send Reminder,2018-11-01 06:00:06+00:00,organizational unit 65459,0.0
travel permit 1714,Send Reminder,2018-05-01 06:00:35+00:00,organizational unit 65464,0.0
travel permit 1720,Send Reminder,2018-06-01 06:01:04+00:00,organizational unit 65458,0.0
travel permit 17432,Send Reminder,2018-10-01 06:00:43+00:00,organizational unit 65460,0.0
travel permit 17565,Send Reminder,2019-03-01 06:00:46+00:00,organizational unit 65477,0.0
travel permit 17572,Send Reminder,2019-03-01 06:01:06+00:00,organizational unit 65477,0.0
travel permit 17578,Send Reminder,2019-03-01 06:01:04+00:00,organizational unit 65477,0.0
travel permit 17584,Send Reminder,2019-03-01 06:00:44+00:00,organizational unit 65477,0.0
travel permit 17590,Send Reminder,2019-03-01 06:00:44+00:00,organizational unit 65477,0.0
travel permit 17596,Send Reminder,2019-03-01 06:00:46+00:00,organizational unit 65477,0.0
travel permit 17602,Send Reminder,2019-03-01 06:00:43+00:00,organizational unit 65477,0.0
travel permit 17608,Send Reminder,2019-03-01 06:00:54+00:00,organizational unit 65477,0.0
travel permit 17614,Send Reminder,2019-05-01 06:00:57+00:00,organizational unit 65466,0.0
travel permit 17620,Send Reminder,2019-05-01 06:01:00+00:00,organizational unit 65466,0.0
travel permit 17626,Send Reminder,2019-06-01 06:01:03+00:00,organizational unit 65466,0.0
travel permit 17632,Send Reminder,2019-06-01 06:01:04+00:00,organizational unit 65466,0.0
travel permit 17646,Send Reminder,2019-04-01 06:00:53+00:00,organizational unit 65457,0.0
travel permit 17746,Send Reminder,2019-03-01 06:00:51+00:00,organizational unit 65458,136.5534677134304
travel permit 17884,Send Reminder,2019-03-01 06:01:02+00:00,organizational unit 65454,0.0
travel permit 17904,Send Reminder,2019-03-01 06:00:49+00:00,organizational unit 65454,0.0
travel permit 17979,Send Reminder,2018-09-01 06:00:50+00:00,organizational unit 65456,0.0
travel permit 18030,Send Reminder,2018-11-01 06:00:40+00:00,organizational unit 65466,0.0
travel permit 18088,Send Reminder,2018-10-01 06:00:43+00:00,organizational unit 65455,0.0
travel permit 18094,Send Reminder,2019-01-01 06:00:41+00:00,organizational unit 65459,0.0
travel permit 18178,Send Reminder,2019-02-01 06:00:31+00:00,organizational unit 65459,0.0
travel permit 18188,Send Reminder,2019-03-01 06:00:38+00:00,organizational unit 65459,0.0
travel permit 18221,Send Reminder,2019-04-01 06:00:50+00:00,organizational unit 65454,0.0
travel permit 18270,Send Reminder,2019-03-01 06:00:42+00:00,organizational unit 65458,936.5430252173319
travel permit 18306,Send Reminder,2019-04-01 06:00:55+00:00,organizational unit 65455,0.0
travel permit 18737,Send Reminder,2019-02-01 06:00:33+00:00,organizational unit 65458,0.0
travel permit 18801,Send Reminder,2019-06-01 06:01:02+00:00,organizational unit 65461,0.0
travel permit 18806,Send Reminder,2019-07-01 06:01:16+00:00,organizational unit 65461,0.0
travel permit 18811,Send Reminder,2019-05-01 06:00:56+00:00,organizational unit 65454,0.0
travel permit 18817,Send Reminder,2019-08-01 06:00:59+00:00,organizational unit 65454,0.0
travel permit 18840,Send Reminder,2019-06-01 06:01:18+00:00,organizational unit 65458,0.0
travel permit 18902,Send Reminder,2019-07-01 06:01:02+00:00,organizational unit 65464,0.0
travel permit 18908,Send Reminder,2019-04-01 06:00:48+00:00,organizational unit 65466,508.0567485870658
travel permit 19435,Send Reminder,2019-02-01 06:00:35+00:00,organizational unit 65461,100.95970439672546
travel permit 19544,Send Reminder,2018-11-01 06:00:43+00:00,organizational unit 65459,0.0
travel permit 19728,Send Reminder,2019-01-01 06:00:46+00:00,organizational unit 65466,326.25171858449136
travel permit 19761,Send Reminder,2018-11-01 06:00:39+00:00,organizational unit 65456,0.0
travel permit 19839,Send Reminder,2019-02-01 06:00:54+00:00,organizational unit 65455,0.0
travel permit 20482,Send Reminder,2019-01-01 06:00:48+00:00,organizational unit 65457,0.0
travel permit 20639,Send Reminder,2018-11-01 06:00:45+00:00,organizational unit 65454,0.0
travel permit 20762,Send Reminder,2018-11-01 06:00:43+00:00,organizational unit 65459,0.0
travel permit 20767,Send Reminder,2019-04-01 06:00:47+00:00,organizational unit 65459,0.0
travel permit 20896,Send Reminder,2018-09-01 06:00:54+00:00,organizational unit 65454,0.0
travel permit 21087,Send Reminder,2019-03-01 06:00:52+00:00,organizational unit 65461,0.0
travel permit 21204,Send Reminder,2018-07-01 06:00:58+00:00,organizational unit 65458,0.0
travel permit 21210,Send Reminder,2018-08-01 06:00:31+00:00,organizational unit 65458,0.0
travel permit 21299,Send Reminder,2018-10-01 06:00:34+00:00,organizational unit 65460,0.0
travel permit 21447,Send Reminder,2018-12-01 06:00:50+00:00,organizational unit 65455,0.0
travel permit 21452,Send Reminder,2018-07-01 06:01:12+00:00,organizational unit 65459,0.0
travel permit 21549,Send Reminder,2018-08-01 06:00:51+00:00,organizational unit 65456,0.0
travel permit 21782,Send Reminder,2018-10-01 06:00:53+00:00,organizational unit 65454,0.0
travel permit 21787,Send Reminder,2018-10-01 06:00:40+00:00,organizational unit 65454,0.0
travel permit 21890,Send Reminder,2018-11-01 06:00:35+00:00,organizational unit 65458,0.0
travel permit 21970,Send Reminder,2018-06-01 06:01:00+00:00,organizational unit 65455,0.0
travel permit 21975,Send Reminder,2018-05-01 06:00:31+00:00,organizational unit 65459,0.0
travel permit 21991,Send Reminder,2018-06-01 06:01:07+00:00,organizational unit 65466,0.0
travel permit 22173,Send Reminder,2019-01-01 06:00:53+00:00,organizational unit 65456,0.0
travel permit 22215,Send Reminder,2018-12-01 06:00:53+00:00,organizational unit 65455,0.0
travel permit 22352,Send Reminder,2018-10-01 06:00:52+00:00,organizational unit 65454,0.0
travel permit 2242,Send Reminder,2018-08-01 06:00:47+00:00,organizational unit 65457,483.4348289152175
travel permit 22639,Send Reminder,2018-09-01 06:00:50+00:00,organizational unit 65455,0.0
travel permit 22644,Send Reminder,2018-06-01 06:00:53+00:00,organizational unit 65455,0.0
travel permit 22898,Send Reminder,2018-09-01 06:00:41+00:00,organizational unit 65456,912.4172809869735
travel permit 22999,Send Reminder,2018-06-01 06:00:30+00:00,organizational unit 65459,0.0
travel permit 23184,Send Reminder,2018-08-01 06:00:56+00:00,organizational unit 65466,0.0
travel permit 23527,Send Reminder,2018-11-01 06:00:34+00:00,organizational unit 65458,0.0
travel permit 23533,Send Reminder,2018-09-01 06:00:45+00:00,organizational unit 65458,0.0
travel permit 23617,Send Reminder,2018-06-01 06:01:02+00:00,organizational unit 65456,622.1729145055282
travel permit 23762,Send Reminder,2018-07-01 06:01:15+00:00,organizational unit 65458,0.0
travel permit 23817,Send Reminder,2019-02-01 06:00:41+00:00,organizational unit 65459,0.0
travel permit 23828,Send Reminder,2019-06-01 06:01:12+00:00,organizational unit 65454,0.0
travel permit 23878,Send Reminder,2019-05-01 06:00:44+00:00,organizational unit 65469,0.0
travel permit 23925,Send Reminder,2019-03-01 06:00:34+00:00,organizational unit 65461,0.0
travel permit 24149,Send Reminder,2018-07-01 06:01:23+00:00,organizational unit 65454,0.0
travel permit 24181,Send Reminder,2018-07-01 06:01:12+00:00,organizational unit 65459,0.0
travel permit 24257,Send Reminder,2019-01-01 06:00:20+00:00,organizational unit 65469,0.0
travel permit 24292,Send Reminder,2019-01-01 06:00:18+00:00,organizational unit 65464,0.0
travel permit 24298,Send Reminder,2019-04-01 06:00:54+00:00,organizational unit 65458,0.0
travel permit 24353,Send Reminder,2019-03-01 06:01:00+00:00,organizational unit 65454,16.13648170732623
travel permit 2438,Send Reminder,2018-07-01 06:01:22+00:00,organizational unit 65459,199.6213594251007
travel permit 24405,Send Reminder,2019-02-01 06:00:36+00:00,organizational unit 65458,0.0
travel permit 24411,Send Reminder,2019-03-01 06:00:28+00:00,organizational unit 65458,0.0
travel permit 24417,Send Reminder,2019-04-01 06:00:53+00:00,organizational unit 65456,0.0
travel permit 24604,Send Reminder,2018-09-01 06:00:55+00:00,organizational unit 65455,0.0
travel permit 24756,Send Reminder,2018-09-01 06:00:44+00:00,organizational unit 65460,0.0
travel permit 24966,Send Reminder,2019-05-01 06:00:56+00:00,organizational unit 65454,0.0
travel permit 24981,Send Reminder,2019-04-01 06:00:50+00:00,organizational unit 65457,0.0
travel permit 24986,Send Reminder,2019-04-01 06:00:32+00:00,organizational unit 65457,0.0
travel permit 24997,Send Reminder,2019-04-01 06:00:46+00:00,organizational unit 65464,0.0
travel permit 25182,Send Reminder,2018-10-01 06:00:45+00:00,organizational unit 65455,0.0
travel permit 25257,Send Reminder,2018-11-01 06:00:32+00:00,organizational unit 65457,0.0
travel permit 25314,Send Reminder,2018-11-01 06:00:46+00:00,organizational unit 65464,1163.8527445000989
travel permit 25339,Send Reminder,2018-11-01 06:00:34+00:00,organizational unit 65464,1887.328774865025
travel permit 25356,Send Reminder,2018-08-01 06:00:46+00:00,organizational unit 65457,0.0
travel permit 25398,Send Reminder,2018-08-01 06:00:51+00:00,organizational unit 65455,0.0
travel permit 25496,Send Reminder,2018-08-01 06:00:52+00:00,organizational unit 65464,0.0
travel permit 25758,Send Reminder,2018-11-01 06:00:39+00:00,organizational unit 65458,0.0
travel permit 25795,Send Reminder,2019-03-01 06:00:39+00:00,organizational unit 65456,0.0
travel permit 25801,Send Reminder,2018-12-01 06:00:47+00:00,organizational unit 65466,0.0
travel permit 25979,Send Reminder,2019-01-01 06:00:27+00:00,organizational unit 65461,639.6373218154954
travel permit 2598,Send Reminder,2018-06-01 06:01:06+00:00,organizational unit 65461,0.0
travel permit 26038,Send Reminder,2018-08-01 06:00:49+00:00,organizational unit 65458,0.0
travel permit 26043,Send Reminder,2018-12-01 06:00:46+00:00,organizational unit 65456,0.0
travel permit 26070,Send Reminder,2018-09-01 06:00:49+00:00,organizational unit 65459,0.0
travel permit 26255,Send Reminder,2018-08-01 06:00:44+00:00,organizational unit 65454,0.0
travel permit 26260,Send Reminder,2018-09-01 06:00:50+00:00,organizational unit 65454,0.0
travel permit 26278,Send Reminder,2018-10-01 06:00:41+00:00,organizational unit 65456,207.59505103408225
travel permit 26391,Send Reminder,2018-07-01 06:01:06+00:00,organizational unit 65458,0.0
travel permit 26424,Send Reminder,2018-10-01 06:00:49+00:00,organizational unit 65460,0.0
travel permit 26535,Send Reminder,2019-03-01 06:00:46+00:00,organizational unit 65454,0.0
travel permit 26586,Send Reminder,2019-04-01 06:00:51+00:00,organizational unit 65455,0.0
travel permit 26596,Send Reminder,2019-05-01 06:01:00+00:00,organizational unit 65457,0.0
travel permit 26614,Send Reminder,2019-01-01 06:00:30+00:00,organizational unit 65458,0.0
travel permit 26619,Send Reminder,2019-03-01 06:00:56+00:00,organizational unit 65454,0.0
travel permit 26625,Send Reminder,2019-06-01 06:01:19+00:00,organizational unit 65470,0.0
travel permit 26666,Send Reminder,2019-02-01 06:00:48+00:00,organizational unit 65455,0.0
travel permit 26691,Send Reminder,2019-02-01 06:00:59+00:00,organizational unit 65455,0.0
travel permit 26885,Send Reminder,2018-05-01 06:00:32+00:00,organizational unit 65458,0.0
travel permit 26903,Send Reminder,2018-06-01 06:01:05+00:00,organizational unit 65454,0.0
travel permit 26998,Send Reminder,2018-09-01 06:00:52+00:00,organizational unit 65454,0.0
travel permit 27086,Send Reminder,2019-04-01 06:00:47+00:00,organizational unit 65458,0.0
travel permit 27121,Send Reminder,2019-08-01 06:00:59+00:00,organizational unit 65460,0.0
travel permit 27131,Send Reminder,2019-06-01 06:01:10+00:00,organizational unit 65455,0.0
travel permit 27141,Send Reminder,2019-02-01 06:00:54+00:00,organizational unit 65456,0.0
travel permit 27146,Send Reminder,2019-03-01 06:00:44+00:00,organizational unit 65472,0.0
travel permit 27250,Send Reminder,2019-03-01 06:00:48+00:00,organizational unit 65464,0.0
travel permit 27375,Send Reminder,2018-08-01 06:00:45+00:00,organizational unit 65454,0.0
travel permit 27512,Send Reminder,2018-10-01 06:00:49+00:00,organizational unit 65455,0.0
travel permit 27543,Send Reminder,2018-10-01 06:00:34+00:00,organizational unit 65456,0.0
travel permit 27624,Send Reminder,2019-06-01 06:01:17+00:00,organizational unit 65458,0.0
travel permit 27648,Send Reminder,2019-04-01 06:00:35+00:00,organizational unit 65470,0.0
travel permit 27665,Send Reminder,2019-06-01 06:01:04+00:00,organizational unit 65466,0.0
travel permit 27689,Send Reminder,2019-05-01 06:00:58+00:00,organizational unit 65459,0.0
travel permit 27710,Send Reminder,2019-02-01 06:00:57+00:00,organizational unit 65459,0.0
travel permit 27745,Send Reminder,2019-04-01 06:00:53+00:00,organizational unit 65473,0.0
travel permit 27761,Send Reminder,2019-06-01 06:01:11+00:00,organizational unit 65457,0.0
travel permit 27777,Send Reminder,2019-03-01 06:00:56+00:00,organizational unit 65464,0.0
travel permit 27913,Send Reminder,2019-06-01 06:01:20+00:00,organizational unit 65455,0.0
travel permit 27963,Send Reminder,2019-03-01 06:00:57+00:00,organizational unit 65456,0.0
travel permit 27968,Send Reminder,2019-02-01 06:00:34+00:00,organizational unit 65455,0.0
travel permit 2797,Send Reminder,2018-06-01 06:00:59+00:00,organizational unit 65456,0.0
travel permit 27973,Send Reminder,2019-01-01 06:00:08+00:00,organizational unit 65458,0.0
travel permit 28023,Send Reminder,2018-10-01 06:00:42+00:00,organizational unit 65455,0.0
travel permit 28178,Send Reminder,2018-10-01 06:00:42+00:00,organizational unit 65456,0.0
travel permit 28289,Send Reminder,2018-09-01 06:00:48+00:00,organizational unit 65466,0.0
travel permit 28363,Send Reminder,2018-07-01 06:01:18+00:00,organizational unit 65458,0.0
travel permit 28474,Send Reminder,2019-02-01 06:00:37+00:00,organizational unit 65455,0.0
travel permit 28479,Send Reminder,2019-03-01 06:00:51+00:00,organizational unit 65455,0.0
travel permit 28494,Send Reminder,2019-03-01 06:01:02+00:00,organizational unit 65455,0.0
travel permit 28590,Send Reminder,2019-02-01 06:00:34+00:00,organizational unit 65460,0.0
travel permit 28595,Send Reminder,2019-04-01 06:00:52+00:00,organizational unit 65460,0.0
travel permit 28600,Send Reminder,2019-04-01 06:00:47+00:00,organizational unit 65454,0.0
travel permit 28615,Send Reminder,2018-10-01 06:00:39+00:00,organizational unit 65454,0.0
travel permit 28751,Send Reminder,2018-10-01 06:00:41+00:00,organizational unit 65456,0.0
travel permit 2881,Send Reminder,2018-06-01 06:00:57+00:00,organizational unit 65460,0.0
travel permit 2887,Send Reminder,2019-02-01 06:00:40+00:00,organizational unit 65460,0.0
travel permit 28908,Send Reminder,2019-02-01 06:00:49+00:00,organizational unit 65460,0.0
travel permit 28935,Send Reminder,2018-12-01 06:00:49+00:00,organizational unit 65459,0.0
travel permit 29001,Send Reminder,2018-08-01 06:00:46+00:00,organizational unit 65460,0.0
travel permit 29007,Send Reminder,2018-08-01 06:00:55+00:00,organizational unit 65460,0.0
travel permit 29042,Send Reminder,2018-10-01 06:00:36+00:00,organizational unit 65461,0.0
travel permit 29172,Send Reminder,2019-04-01 06:00:52+00:00,organizational unit 65456,0.0
travel permit 29187,Send Reminder,2019-02-01 06:00:57+00:00,organizational unit 65454,0.0
travel permit 2919,Send Reminder,2018-06-01 06:01:02+00:00,organizational unit 65458,0.0
travel permit 29279,Send Reminder,2019-03-01 06:00:52+00:00,organizational unit 65458,0.0
travel permit 2937,Send Reminder,2018-07-01 06:01:22+00:00,organizational unit 65457,0.0
travel permit 2943,Send Reminder,2018-05-01 06:00:32+00:00,organizational unit 65472,0.0
travel permit 29463,Send Reminder,2019-03-01 06:00:59+00:00,organizational unit 65466,0.0
travel permit 29619,Send Reminder,2018-12-01 06:00:39+00:00,organizational unit 65459,0.0
travel permit 29691,Send Reminder,2018-11-01 06:00:41+00:00,organizational unit 65454,0.0
travel permit 29713,Send Reminder,2018-11-01 06:00:38+00:00,organizational unit 65464,0.0
travel permit 29718,Send Reminder,2019-03-01 06:00:53+00:00,organizational unit 65455,0.0
travel permit 29723,Send Reminder,2019-03-01 06:00:59+00:00,organizational unit 65455,0.0
travel permit 29752,Send Reminder,2019-01-01 06:00:22+00:00,organizational unit 65458,0.0
travel permit 29757,Send Reminder,2019-03-01 06:01:03+00:00,organizational unit 65457,0.0
travel permit 29762,Send Reminder,2019-03-01 06:00:57+00:00,organizational unit 65458,0.0
travel permit 29856,Send Reminder,2019-01-01 06:00:50+00:00,organizational unit 65455,0.0
travel permit 30017,Send Reminder,2019-02-01 06:00:51+00:00,organizational unit 65459,0.0
travel permit 30266,Send Reminder,2018-11-01 06:00:34+00:00,organizational unit 65454,0.0
travel permit 30406,Send Reminder,2019-03-01 06:00:51+00:00,organizational unit 65454,0.0
travel permit 30436,Send Reminder,2019-02-01 06:00:53+00:00,organizational unit 65456,0.0
travel permit 30533,Send Reminder,2019-03-01 06:01:00+00:00,organizational unit 65465,0.0
travel permit 30538,Send Reminder,2019-01-01 06:00:39+00:00,organizational unit 65454,16.13648170732623
travel permit 30670,Send Reminder,2019-06-01 06:01:07+00:00,organizational unit 65474,0.0
travel permit 30688,Send Reminder,2019-03-01 06:00:39+00:00,organizational unit 65467,0.0
travel permit 30836,Send Reminder,2018-11-01 06:00:44+00:00,organizational unit 65457,0.0
travel permit 31133,Send Reminder,2018-10-01 06:00:22+00:00,organizational unit 65456,0.0
travel permit 31164,Send Reminder,2018-10-01 06:00:48+00:00,organizational unit 65460,0.0
travel permit 31180,Send Reminder,2018-06-01 06:00:59+00:00,organizational unit 65469,0.0
travel permit 31373,Send Reminder,2019-01-01 06:00:11+00:00,organizational unit 65455,0.0
travel permit 31380,Send Reminder,2019-03-01 06:00:40+00:00,organizational unit 65456,0.0
travel permit 31462,Send Reminder,2018-06-01 06:00:58+00:00,organizational unit 65454,0.0
travel permit 31934,Send Reminder,2019-02-01 06:00:39+00:00,organizational unit 65456,0.0
travel permit 31973,Send Reminder,2018-06-01 06:00:59+00:00,organizational unit 65458,0.0
