case_id,fitness,missing_tokens,remaining_tokens,consumed_tokens,produced_tokens,is_fit
travel permit 72601,0.8181818181818181,4,4,22,22,False
travel permit 73834,0.9285714285714286,1,1,14,14,False
travel permit 73049,0.8947368421052632,2,2,19,19,False
travel permit 76825,0.8947368421052632,2,2,19,19,False
travel permit 76335,0.9583333333333334,1,1,24,24,False
travel permit 76905,0.8947368421052632,2,2,19,19,False
travel permit 76603,0.8947368421052632,2,2,19,19,False
travel permit 75789,0.8947368421052632,2,2,19,19,False
travel permit 76167,0.9444444444444444,1,1,18,18,False
travel permit 73867,0.9523809523809523,1,1,21,21,False
travel permit 73804,0.9523809523809523,1,1,21,21,False
travel permit 73814,0.9444444444444444,1,1,18,18,False
travel permit 74035,0.896551724137931,3,3,29,29,False
travel permit 74632,0.8947368421052632,2,2,19,19,False
travel permit 77900,0.8181818181818181,4,4,22,22,False
travel permit 73772,0.9523809523809523,1,1,21,21,False
travel permit 72629,0.8947368421052632,2,2,19,19,False
travel permit 73057,0.8947368421052632,2,2,19,19,False
travel permit 72613,0.9444444444444444,1,1,18,18,False
travel permit 76045,0.8947368421052632,2,2,19,19,False
travel permit 76281,0.8947368421052632,2,2,19,19,False
travel permit 74054,0.8947368421052632,2,2,19,19,False
travel permit 74062,0.8947368421052632,2,2,19,19,False
travel permit 73782,0.8181818181818181,4,4,22,22,False
travel permit 77390,0.9285714285714286,1,1,14,14,False
travel permit 73877,0.8947368421052632,2,2,19,19,False
travel permit 73886,0.8947368421052632,2,2,19,19,False
travel permit 73894,0.8181818181818181,4,4,22,22,False
travel permit 74640,0.8947368421052632,2,2,19,19,False
travel permit 76915,0.9444444444444444,1,1,18,18,False
travel permit 76919,0.8947368421052632,2,2,19,19,False
travel permit 76928,0.6,16,16,40,40,False
travel permit 74108,0.9523809523809523,1,1,21,21,False
travel permit 73907,0.8947368421052632,2,2,19,19,False
travel permit 76238,0.8947368421052632,2,2,19,19,False
travel permit 74118,0.9583333333333334,1,1,24,24,False
travel permit 75797,0.9523809523809523,1,1,21,21,False
travel permit 76699,0.9523809523809523,1,1,21,21,False
travel permit 73818,0.8947368421052632,2,2,19,19,False
travel permit 73912,0.9523809523809523,1,1,21,21,False
travel permit 77394,0.9523809523809523,1,1,21,21,False
travel permit 74071,0.8333333333333334,4,4,24,24,False
travel permit 72935,0.8387096774193549,5,5,31,31,False
travel permit 76708,0.7333333333333334,8,8,30,30,False
travel permit 74131,0.8571428571428572,4,4,28,28,False
travel permit 76970,0.875,3,3,24,24,False
travel permit 73065,0.9285714285714286,1,1,14,14,False
travel permit 74150,0.9523809523809523,1,1,21,21,False
travel permit 74277,0.8947368421052632,2,2,19,19,False
travel permit 72617,0.9285714285714286,1,1,14,14,False
travel permit 73921,0.8947368421052632,2,2,19,19,False
travel permit 74285,0.8947368421052632,2,2,19,19,False
travel permit 73929,0.875,3,3,24,24,False
travel permit 76229,0.9523809523809523,1,1,21,21,False
travel permit 73069,0.9523809523809523,1,1,21,21,False
travel permit 72621,0.8947368421052632,2,2,19,19,False
travel permit 73961,0.8947368421052632,2,2,19,19,False
travel permit 74294,0.8947368421052632,2,2,19,19,False
travel permit 72960,0.8947368421052632,2,2,19,19,False
travel permit 73078,0.9523809523809523,1,1,21,21,False
travel permit 77405,0.9285714285714286,1,1,14,14,False
travel permit 72968,0.9523809523809523,1,1,21,21,False
travel permit 74302,0.9523809523809523,1,1,21,21,False
travel permit 74313,0.8947368421052632,2,2,19,19,False
travel permit 73953,0.8,4,4,20,20,False
travel permit 76844,0.9285714285714286,1,1,14,14,False
travel permit 73969,0.9523809523809523,1,1,21,21,False
travel permit 73087,0.9523809523809523,1,1,21,21,False
travel permit 74159,0.8947368421052632,2,2,19,19,False
travel permit 72979,0.9583333333333334,1,1,24,24,False
travel permit 74167,0.9259259259259259,2,2,27,27,False
travel permit 74648,0.9523809523809523,1,1,21,21,False
travel permit 77566,0.9523809523809523,1,1,21,21,False
travel permit 73096,0.9523809523809523,1,1,21,21,False
travel permit 72993,0.8947368421052632,2,2,19,19,False
travel permit 73001,0.8666666666666667,2,2,15,15,False
travel permit 77575,0.9523809523809523,1,1,21,21,False
travel permit 77585,0.8947368421052632,2,2,19,19,False
travel permit 76736,0.9285714285714286,1,1,14,14,False
travel permit 74181,0.8947368421052632,2,2,19,19,False
travel permit 73285,0.9523809523809523,1,1,21,21,False
travel permit 76172,0.9444444444444444,1,1,18,18,False
travel permit 73296,0.9523809523809523,1,1,21,21,False
travel permit 73979,0.9285714285714286,1,1,14,14,False
travel permit 76861,0.9523809523809523,1,1,21,21,False
travel permit 75807,0.8947368421052632,2,2,19,19,False
travel permit 76985,0.8947368421052632,2,2,19,19,False
travel permit 74321,0.9285714285714286,1,1,14,14,False
travel permit 76994,0.8947368421052632,2,2,19,19,False
travel permit 76612,0.8235294117647058,3,3,17,17,False
travel permit 76620,0.875,3,3,24,24,False
travel permit 76348,0.8947368421052632,2,2,19,19,False
travel permit 67652,1.0,0,0,28,28,True
travel permit 77593,0.9583333333333334,1,1,24,24,False
travel permit 72637,0.9523809523809523,1,1,21,21,False
travel permit 76871,0.8947368421052632,2,2,19,19,False
travel permit 75123,0.9523809523809523,1,1,21,21,False
travel permit 73985,0.9285714285714286,1,1,14,14,False
travel permit 75815,0.9523809523809523,1,1,21,21,False
travel permit 77605,0.8095238095238095,4,4,21,21,False
travel permit 76246,0.71875,9,9,32,32,False
travel permit 72646,0.9523809523809523,1,1,21,21,False
travel permit 73158,0.9523809523809523,1,1,21,21,False
travel permit 77024,0.8947368421052632,2,2,19,19,False
travel permit 74325,0.8947368421052632,2,2,19,19,False
travel permit 73990,0.9285714285714286,1,1,14,14,False
travel permit 77120,0.9444444444444444,1,1,18,18,False
travel permit 77124,0.8947368421052632,2,2,19,19,False
travel permit 74333,0.8947368421052632,2,2,19,19,False
travel permit 8719,1.0,0,0,28,28,True
travel permit 77132,0.9285714285714286,1,1,14,14,False
travel permit 74485,0.9444444444444444,1,1,18,18,False
travel permit 74489,0.8260869565217391,4,4,23,23,False
travel permit 77002,0.9583333333333334,1,1,24,24,False
travel permit 75825,0.7857142857142857,6,6,28,28,False
travel permit 74501,0.875,3,3,24,24,False
travel permit 74341,0.8947368421052632,2,2,19,19,False
travel permit 77186,0.8947368421052632,2,2,19,19,False
travel permit 74349,0.9523809523809523,1,1,21,21,False
travel permit 77136,0.9523809523809523,1,1,21,21,False
travel permit 77032,0.9583333333333334,1,1,24,24,False
travel permit 77194,0.9285714285714286,2,2,28,28,False
travel permit 74742,0.9523809523809523,1,1,21,21,False
travel permit 73168,0.9583333333333334,1,1,24,24,False
travel permit 75846,0.8947368421052632,2,2,19,19,False
travel permit 73996,0.9523809523809523,1,1,21,21,False
travel permit 74517,0.7307692307692308,7,7,26,26,False
travel permit 74834,0.9090909090909091,2,2,22,22,False
travel permit 74006,0.8947368421052632,2,2,19,19,False
travel permit 74536,0.8823529411764706,2,2,17,17,False
travel permit 74541,0.9444444444444444,1,1,18,18,False
travel permit 76635,0.8095238095238095,4,4,21,21,False
travel permit 76646,0.75,7,7,28,28,False
travel permit 73180,0.8947368421052632,2,2,19,19,False
travel permit 76176,0.8947368421052632,2,2,19,19,False
travel permit 77211,0.8947368421052632,2,2,19,19,False
travel permit 76356,0.8947368421052632,2,2,19,19,False
travel permit 74545,0.8181818181818181,4,4,22,22,False
travel permit 74014,0.7857142857142857,6,6,28,28,False
travel permit 75133,0.9523809523809523,1,1,21,21,False
travel permit 77219,0.8947368421052632,2,2,19,19,False
travel permit 76364,0.8947368421052632,2,2,19,19,False
travel permit 76434,0.9583333333333334,1,1,24,24,False
travel permit 75929,0.7692307692307692,6,6,26,26,False
travel permit 77617,0.9583333333333334,1,1,24,24,False
travel permit 75947,0.9523809523809523,1,1,21,21,False
travel permit 77630,0.9444444444444444,1,1,18,18,False
travel permit 74669,0.6944444444444444,1,4,6,9,False
travel permit 73306,0.8888888888888888,3,3,27,27,False
travel permit 73324,0.9523809523809523,1,1,21,21,False
travel permit 73188,0.7333333333333334,8,8,30,30,False
travel permit 75957,0.7333333333333334,8,8,30,30,False
travel permit 74671,0.8947368421052632,2,2,19,19,False
travel permit 73214,0.875,3,3,24,24,False
travel permit 75983,0.8947368421052632,2,2,19,19,False
travel permit 73230,0.8947368421052632,2,2,19,19,False
travel permit 74227,0.8333333333333334,4,4,24,24,False
travel permit 76673,0.9285714285714286,1,1,14,14,False
travel permit 76372,0.9444444444444444,1,1,18,18,False
travel permit 74359,0.8947368421052632,2,2,19,19,False
travel permit 77804,0.9523809523809523,1,1,21,21,False
travel permit 74679,0.92,2,2,25,25,False
travel permit 73238,0.8947368421052632,2,2,19,19,False
travel permit 77814,0.8947368421052632,2,2,19,19,False
travel permit 74753,0.9523809523809523,1,1,21,21,False
travel permit 75143,0.9523809523809523,1,1,21,21,False
travel permit 77227,0.9523809523809523,1,1,21,21,False
travel permit 77822,0.84,4,4,25,25,False
travel permit 76849,0.8947368421052632,2,2,19,19,False
travel permit 76740,0.8947368421052632,2,2,19,19,False
travel permit 77270,0.8947368421052632,2,2,19,19,False
travel permit 77278,0.9444444444444444,1,1,18,18,False
travel permit 74241,0.9523809523809523,1,1,21,21,False
travel permit 74557,0.9523809523809523,1,1,21,21,False
travel permit 78002,0.8947368421052632,2,2,19,19,False
travel permit 77282,0.782608695652174,5,5,23,23,False
travel permit 74567,0.9523809523809523,1,1,21,21,False
travel permit 74577,0.7352941176470589,9,9,34,34,False
travel permit 73442,0.9090909090909091,3,3,33,33,False
travel permit 74251,0.9285714285714286,1,1,14,14,False
travel permit 78010,0.9523809523809523,1,1,21,21,False
travel permit 74197,0.9523809523809523,1,1,21,21,False
travel permit 76376,0.9523809523809523,1,1,21,21,False
travel permit 75362,0.8823529411764706,2,2,17,17,False
travel permit 74935,0.9090909090909091,2,2,22,22,False
travel permit 77044,0.9285714285714286,1,1,14,14,False
travel permit 78020,0.9166666666666666,2,2,24,24,False
travel permit 76748,0.8947368421052632,2,2,19,19,False
travel permit 74207,0.8666666666666667,4,4,30,30,False
travel permit 78033,0.9523809523809523,1,1,21,21,False
travel permit 76756,0.875,3,3,24,24,False
travel permit 78043,0.9523809523809523,1,1,21,21,False
travel permit 76463,0.9523809523809523,1,1,21,21,False
travel permit 74844,0.84,4,4,25,25,False
travel permit 77473,0.9285714285714286,1,1,14,14,False
travel permit 74863,0.9523809523809523,1,1,21,21,False
travel permit 74603,0.9523809523809523,1,1,21,21,False
travel permit 74763,0.9523809523809523,1,1,21,21,False
travel permit 78053,0.92,2,2,25,25,False
travel permit 74258,0.8947368421052632,2,2,19,19,False
travel permit 76796,0.9285714285714286,1,1,14,14,False
travel permit 77478,0.9523809523809523,1,1,21,21,False
travel permit 77488,0.8947368421052632,2,2,19,19,False
travel permit 74873,0.875,3,3,24,24,False
travel permit 75367,0.84,4,4,25,25,False
travel permit 75211,0.9333333333333333,2,2,30,30,False
travel permit 76473,0.8947368421052632,2,2,19,19,False
travel permit 85685,0.8947368421052632,2,2,19,19,False
travel permit 73465,0.9285714285714286,1,1,14,14,False
travel permit 75229,0.9523809523809523,1,1,21,21,False
travel permit 74890,0.9444444444444444,1,1,18,18,False
travel permit 75239,0.75,6,6,24,24,False
travel permit 74267,0.9523809523809523,1,1,21,21,False
travel permit 76786,0.9523809523809523,1,1,21,21,False
travel permit 74982,0.8947368421052632,2,2,19,19,False
travel permit 75254,0.9523809523809523,1,1,21,21,False
travel permit 75265,0.9523809523809523,1,1,21,21,False
travel permit 74367,0.8947368421052632,2,2,19,19,False
travel permit 75991,0.8947368421052632,2,2,19,19,False
travel permit 74894,0.9523809523809523,1,1,21,21,False
travel permit 74613,0.7285714285714286,1,4,7,10,False
travel permit 77708,0.9523809523809523,1,1,21,21,False
travel permit 76771,0.9259259259259259,2,2,27,27,False
travel permit 74618,0.8947368421052632,2,2,19,19,False
travel permit 75999,0.8947368421052632,2,2,19,19,False
travel permit 76009,0.8846153846153846,3,3,26,26,False
travel permit 74375,0.8095238095238095,4,4,21,21,False
travel permit 77718,0.8947368421052632,2,2,19,19,False
travel permit 77146,0.9583333333333334,1,1,24,24,False
travel permit 75275,0.9523809523809523,1,1,21,21,False
travel permit 77726,0.9523809523809523,1,1,21,21,False
travel permit 74386,0.8181818181818181,4,4,22,22,False
travel permit 75441,0.9523809523809523,1,1,21,21,False
travel permit 72124,0.9523809523809523,1,1,21,21,False
travel permit 77736,0.8947368421052632,2,2,19,19,False
travel permit 74398,0.8947368421052632,2,2,19,19,False
travel permit 77744,0.8947368421052632,2,2,19,19,False
travel permit 72135,0.8947368421052632,2,2,19,19,False
travel permit 75451,0.8947368421052632,2,2,19,19,False
travel permit 73470,0.8095238095238095,4,4,21,21,False
travel permit 72144,0.8947368421052632,2,2,19,19,False
travel permit 77753,0.8947368421052632,2,2,19,19,False
travel permit 74693,0.8947368421052632,2,2,19,19,False
travel permit 74406,0.8947368421052632,2,2,19,19,False
travel permit 72152,0.7037037037037037,8,8,27,27,False
travel permit 73335,0.7037037037037037,8,8,27,27,False
travel permit 74701,0.8947368421052632,2,2,19,19,False
travel permit 74709,0.9545454545454546,1,1,22,22,False
travel permit 76800,0.8947368421052632,2,2,19,19,False
travel permit 74718,0.9444444444444444,1,1,18,18,False
travel permit 72169,0.9444444444444444,1,1,18,18,False
travel permit 75459,0.9285714285714286,1,1,14,14,False
travel permit 72551,0.8888888888888888,3,3,27,27,False
travel permit 75463,0.9523809523809523,1,1,21,21,False
travel permit 76481,0.8333333333333334,5,5,30,30,False
travel permit 76879,0.9444444444444444,1,1,18,18,False
travel permit 76026,0.9545454545454546,1,1,22,22,False
travel permit 72173,0.8947368421052632,2,2,19,19,False
travel permit 74722,0.8181818181818181,4,4,22,22,False
travel permit 73482,0.8181818181818181,4,4,22,22,False
travel permit 74991,0.8095238095238095,4,4,21,21,False
travel permit 75003,0.8095238095238095,4,4,21,21,False
travel permit 76884,0.8095238095238095,4,4,21,21,False
travel permit 75473,0.8947368421052632,2,2,19,19,False
travel permit 75385,0.7096774193548387,9,9,31,31,False
travel permit 72370,0.8947368421052632,2,2,19,19,False
travel permit 75481,0.8947368421052632,2,2,19,19,False
travel permit 76507,0.9523809523809523,1,1,21,21,False
travel permit 74436,0.875,3,3,24,24,False
travel permit 77049,0.8947368421052632,2,2,19,19,False
travel permit 75490,0.8947368421052632,2,2,19,19,False
travel permit 74734,0.8947368421052632,2,2,19,19,False
travel permit 75499,0.9523809523809523,1,1,21,21,False
travel permit 74414,0.7857142857142857,6,6,28,28,False
travel permit 75509,0.8947368421052632,2,2,19,19,False
travel permit 75574,0.8947368421052632,2,2,19,19,False
travel permit 73494,0.92,2,2,25,25,False
travel permit 75600,0.9523809523809523,1,1,21,21,False
travel permit 8729,1.0,0,0,28,28,True
travel permit 36857,1.0,0,0,24,24,True
travel permit 75582,0.8947368421052632,2,2,19,19,False
travel permit 74904,0.8571428571428572,4,4,28,28,False
travel permit 75590,0.9090909090909091,2,2,22,22,False
travel permit 74923,0.8260869565217391,4,4,23,23,False
travel permit 76517,0.8695652173913043,3,3,23,23,False
travel permit 76532,0.92,2,2,25,25,False
travel permit 75611,0.9130434782608696,2,2,23,23,False
travel permit 74451,0.8181818181818181,4,4,22,22,False
travel permit 74465,0.7285714285714286,1,4,7,10,False
travel permit 75014,0.8571428571428572,3,3,21,21,False
travel permit 77058,0.8333333333333334,4,4,24,24,False
travel permit 77159,0.92,2,2,25,25,False
travel permit 74945,0.8571428571428572,4,4,28,28,False
travel permit 74964,0.8947368421052632,2,2,19,19,False
travel permit 75621,0.9523809523809523,1,1,21,21,False
travel permit 76447,0.8947368421052632,2,2,19,19,False
travel permit 72569,0.8947368421052632,2,2,19,19,False
travel permit 75741,0.85,3,3,20,20,False
travel permit 80216,0.8947368421052632,2,2,19,19,False
travel permit 74658,0.8095238095238095,4,4,21,21,False
travel permit 75419,0.8947368421052632,2,2,19,19,False
travel permit 77298,0.9523809523809523,1,1,21,21,False
travel permit 77071,0.8181818181818181,6,6,33,33,False
travel permit 75631,0.9523809523809523,1,1,21,21,False
travel permit 75026,0.8387096774193549,5,5,31,31,False
travel permit 74972,0.9523809523809523,1,1,21,21,False
travel permit 75753,0.8947368421052632,2,2,19,19,False
travel permit 77095,0.7815126050420168,2,5,14,17,False
travel permit 74469,0.8947368421052632,2,2,19,19,False
travel permit 75761,0.9444444444444444,1,1,18,18,False
travel permit 74477,0.8947368421052632,2,2,19,19,False
travel permit 75765,0.9523809523809523,1,1,21,21,False
travel permit 75775,0.9523809523809523,1,1,21,21,False
travel permit 75785,0.9285714285714286,1,1,14,14,False
travel permit 71963,0.8947368421052632,2,2,19,19,False
travel permit 77175,0.9090909090909091,2,2,22,22,False
travel permit 75047,0.8947368421052632,2,2,19,19,False
travel permit 71971,0.6206896551724138,11,11,29,29,False
travel permit 76691,0.8,4,4,20,20,False
travel permit 73509,0.875,3,3,24,24,False
travel permit 72039,0.8947368421052632,2,2,19,19,False
travel permit 72493,0.8947368421052632,2,2,19,19,False
travel permit 71995,0.8947368421052632,2,2,19,19,False
travel permit 72003,0.7096774193548387,9,9,31,31,False
travel permit 72501,0.8947368421052632,2,2,19,19,False
travel permit 77308,0.9523809523809523,1,1,21,21,False
travel permit 77318,0.8947368421052632,2,2,19,19,False
travel permit 73525,0.9523809523809523,1,1,21,21,False
travel permit 77326,0.9523809523809523,1,1,21,21,False
travel permit 77336,0.8947368421052632,2,2,19,19,False
travel permit 77238,0.8947368421052632,2,2,19,19,False
travel permit 72048,0.9523809523809523,1,1,21,21,False
travel permit 72509,0.92,2,2,25,25,False
travel permit 77344,0.9523809523809523,1,1,21,21,False
travel permit 77354,0.8947368421052632,2,2,19,19,False
travel permit 72031,0.8947368421052632,2,2,19,19,False
travel permit 77246,0.8947368421052632,2,2,19,19,False
travel permit 72058,0.8947368421052632,2,2,19,19,False
travel permit 72523,0.9444444444444444,1,1,18,18,False
travel permit 77362,0.9523809523809523,1,1,21,21,False
travel permit 77254,0.8947368421052632,2,2,19,19,False
travel permit 72728,0.9285714285714286,1,1,14,14,False
travel permit 77262,0.8947368421052632,2,2,19,19,False
travel permit 77409,0.9523809523809523,1,1,21,21,False
travel permit 77419,0.8947368421052632,2,2,19,19,False
travel permit 77427,0.8947368421052632,2,2,19,19,False
travel permit 77497,0.8095238095238095,4,4,21,21,False
travel permit 77435,0.8947368421052632,2,2,19,19,False
travel permit 77443,0.9523809523809523,1,1,21,21,False
travel permit 77509,0.9523809523809523,1,1,21,21,False
travel permit 77453,0.9523809523809523,1,1,21,21,False
travel permit 77463,0.9523809523809523,1,1,21,21,False
travel permit 77519,0.9523809523809523,1,1,21,21,False
travel permit 74826,0.8947368421052632,2,2,19,19,False
travel permit 75078,0.8947368421052632,2,2,19,19,False
travel permit 72181,0.9523809523809523,1,1,21,21,False
travel permit 77635,0.8095238095238095,4,4,21,21,False
travel permit 77646,0.8947368421052632,2,2,19,19,False
travel permit 77529,0.8947368421052632,2,2,19,19,False
travel permit 77654,0.9523809523809523,1,1,21,21,False
travel permit 77537,0.8947368421052632,2,2,19,19,False
travel permit 77545,0.8181818181818181,4,4,22,22,False
travel permit 77557,0.9523809523809523,1,1,21,21,False
travel permit 72781,0.9090909090909091,2,2,22,22,False
travel permit 74773,0.8947368421052632,2,2,19,19,False
travel permit 77674,0.8947368421052632,2,2,19,19,False
travel permit 77664,0.9523809523809523,1,1,21,21,False
travel permit 77761,0.9523809523809523,1,1,21,21,False
travel permit 72192,0.9523809523809523,1,1,21,21,False
travel permit 77682,0.8095238095238095,4,4,21,21,False
travel permit 77771,0.9444444444444444,1,1,18,18,False
travel permit 74781,0.9444444444444444,1,1,18,18,False
travel permit 74785,0.8484848484848485,5,5,33,33,False
travel permit 72202,0.9285714285714286,1,1,14,14,False
travel permit 72732,0.9523809523809523,1,1,21,21,False
travel permit 72207,0.9090909090909091,2,2,22,22,False
travel permit 77693,0.9444444444444444,1,1,18,18,False
travel permit 74808,0.9523809523809523,1,1,21,21,False
travel permit 72220,0.8947368421052632,2,2,19,19,False
travel permit 77697,0.8947368421052632,2,2,19,19,False
travel permit 77704,0.9444444444444444,1,1,18,18,False
travel permit 77776,0.8947368421052632,2,2,19,19,False
travel permit 72742,0.8947368421052632,2,2,19,19,False
travel permit 74818,0.8947368421052632,2,2,19,19,False
travel permit 72750,0.92,2,2,25,25,False
travel permit 72229,0.8947368421052632,2,2,19,19,False
travel permit 72765,0.8947368421052632,2,2,19,19,False
travel permit 72237,0.8947368421052632,2,2,19,19,False
travel permit 72773,0.8947368421052632,2,2,19,19,False
travel permit 76107,0.8947368421052632,2,2,19,19,False
travel permit 77839,0.8947368421052632,2,2,19,19,False
travel permit 77912,0.8181818181818181,4,4,22,22,False
travel permit 77847,0.9523809523809523,1,1,21,21,False
travel permit 72794,0.8571428571428572,3,3,21,21,False
travel permit 77857,0.9583333333333334,1,1,24,24,False
travel permit 77924,0.8947368421052632,2,2,19,19,False
travel permit 77870,0.9444444444444444,1,1,18,18,False
travel permit 72245,0.9444444444444444,1,1,18,18,False
travel permit 72806,0.9285714285714286,1,1,14,14,False
travel permit 72811,0.9444444444444444,1,1,18,18,False
travel permit 81896,0.8947368421052632,2,2,19,19,False
travel permit 77932,0.8947368421052632,2,2,19,19,False
travel permit 77941,0.8947368421052632,2,2,19,19,False
travel permit 78067,0.8947368421052632,2,2,19,19,False
travel permit 78075,0.9523809523809523,1,1,21,21,False
travel permit 78086,0.92,2,2,25,25,False
travel permit 77949,0.7333333333333334,8,8,30,30,False
travel permit 78100,0.7285714285714286,1,4,7,10,False
travel permit 78104,0.7307692307692308,7,7,26,26,False
travel permit 78120,0.8387096774193549,5,5,31,31,False
travel permit 77975,0.8333333333333334,4,4,24,24,False
travel permit 77990,0.9444444444444444,1,1,18,18,False
travel permit 78143,0.8095238095238095,4,4,21,21,False
travel permit 72250,0.8947368421052632,2,2,19,19,False
travel permit 77994,0.8947368421052632,2,2,19,19,False
travel permit 72880,0.8709677419354839,4,4,31,31,False
travel permit 78154,0.8947368421052632,2,2,19,19,False
travel permit 78162,0.8947368421052632,2,2,19,19,False
travel permit 75086,0.8947368421052632,2,2,19,19,False
travel permit 75095,0.9523809523809523,1,1,21,21,False
travel permit 75105,0.9444444444444444,1,1,18,18,False
travel permit 72904,0.92,2,2,25,25,False
travel permit 73106,0.9444444444444444,1,1,18,18,False
travel permit 73110,0.8333333333333334,4,4,24,24,False
travel permit 73125,0.8333333333333334,4,4,24,24,False
travel permit 73139,0.84,4,4,25,25,False
travel permit 75153,0.8571428571428572,4,4,28,28,False
